n_nodes,n_edges,density,num_threads,rank_time,triangle_time
1696415,11095298,0.000008,1,67.706210,17.537175
1696415,11095298,0.000008,2,55.580149,14.481046
1696415,11095298,0.000008,3,50.166838,13.574053
1696415,11095298,0.000008,4,46.323555,13.795922
1696415,11095298,0.000008,5,57.728573,14.460141
1696415,11095298,0.000008,6,51.525529,14.790358
1696415,11095298,0.000008,7,74.694074,15.637377
1696415,11095298,0.000008,8,67.047597,21.540808
1696415,11095298,0.000008,1,52.398467,16.622704
1696415,11095298,0.000008,2,46.056268,13.205690
1696415,11095298,0.000008,3,46.695036,13.132924
1696415,11095298,0.000008,4,48.837490,34.639536
1696415,11095298,0.000008,5,57.844257,14.723385
1696415,11095298,0.000008,6,56.013531,13.197091
1696415,11095298,0.000008,7,49.926877,13.971164
1696415,11095298,0.000008,8,52.136105,13.623675
1696415,11095298,0.000008,1,55.057231,18.384148
1696415,11095298,0.000008,2,48.269722,13.351106
1696415,11095298,0.000008,3,44.503469,13.311233
1696415,11095298,0.000008,4,48.621922,13.829054
1696415,11095298,0.000008,5,51.448413,13.774139
1696415,11095298,0.000008,6,50.601978,13.444795
1696415,11095298,0.000008,7,51.514302,14.229280
1696415,11095298,0.000008,8,54.228423,15.273176
