n_nodes,n_edges,density,num_threads,rank_time,triangle_time
334863,925872,0.000017,1,10.481732,2.519606
334863,925872,0.000017,2,5.719630,1.419285
334863,925872,0.000017,3,6.184967,1.846284
334863,925872,0.000017,4,6.514354,1.832421
334863,925872,0.000017,5,6.356272,1.824536
334863,925872,0.000017,6,8.562965,2.108767
334863,925872,0.000017,7,9.090298,3.388652
334863,925872,0.000017,8,11.062376,2.462870
334863,925872,0.000017,1,8.624336,2.375732
334863,925872,0.000017,2,7.425671,2.047710
334863,925872,0.000017,3,7.263136,2.057244
334863,925872,0.000017,4,7.431813,2.521800
334863,925872,0.000017,5,8.591252,2.088214
334863,925872,0.000017,6,10.570134,2.260491
334863,925872,0.000017,7,8.651280,3.262719
334863,925872,0.000017,8,19.248722,3.476991
334863,925872,0.000017,1,8.576744,2.373708
334863,925872,0.000017,2,7.413451,2.065664
334863,925872,0.000017,3,7.469593,1.935097
334863,925872,0.000017,4,6.775194,2.019033
334863,925872,0.000017,5,9.103160,2.103491
334863,925872,0.000017,6,8.032049,2.121839
334863,925872,0.000017,7,7.812687,2.186704
334863,925872,0.000017,8,11.480531,2.676107
