n_nodes,n_edges,density,num_threads,rank_time,triangle_time
4039,8097333,0.992960,1,16.096202,171.284792
4039,8097333,0.992960,2,16.400424,126.153729
4039,8097333,0.992960,3,18.715800,94.853013
4039,8097333,0.992960,4,18.465764,77.534655
4039,8097333,0.992960,5,20.687389,64.147663
4039,8097333,0.992960,6,22.579333,62.658075
4039,8097333,0.992960,7,23.259160,49.916171
4039,8097333,0.992960,8,24.696733,44.465915
4039,8097333,0.992960,1,15.688430,153.976743
4039,8097333,0.992960,2,15.024597,94.529827
4039,8097333,0.992960,3,17.886474,83.340206
4039,8097333,0.992960,4,19.809889,79.647991
4039,8097333,0.992960,5,23.930611,67.945731
4039,8097333,0.992960,6,23.148948,60.099917
4039,8097333,0.992960,7,22.880007,50.190645
4039,8097333,0.992960,8,24.632850,43.897613
4039,8097333,0.992960,1,14.839135,162.103083
4039,8097333,0.992960,2,13.374581,90.073740
4039,8097333,0.992960,3,16.440346,78.887022
4039,8097333,0.992960,4,21.414070,82.814759
4039,8097333,0.992960,5,21.378649,64.052910
4039,8097333,0.992960,6,22.760364,60.406274
4039,8097333,0.992960,7,23.233738,50.252088
4039,8097333,0.992960,8,24.269871,44.065032
